bus_id,route_id,place1,timestamp1_in,timestamp1_out,place2,timestamp2_in,timestamp2_out,place3,timestamp3_in,timestamp3_out,place4,timestamp4_in,timestamp4_out,place5,timestamp5_in,timestamp5_out,place6,timestamp6_in,timestamp6_out,place7,timestamp7_in,timestamp7_out,place8,timestamp8_in,timestamp8_out,place9,timestamp9_in,timestamp9_out
31,8,1,05:44:08,06:04:08,2,06:08:30,06:08:30,3,06:10:01,06:10:01,4,06:21:39,06:21:40,5,06:23:30,06:23:30,6,06:24:24,06:24:24,7,06:31:13,06:31:13,8,06:32:51,06:33:39,9,06:35:31,06:35:31
31,8,1,07:27:09,08:19:40,2,08:26:15,08:26:15,3,08:27:48,08:27:48,,,,,,,,,,,,,,,,,,
31,8,,,,2,08:30:51,08:30:59,,,,4,08:35:37,08:35:47,5,08:37:33,08:37:33,6,08:38:36,08:38:39,7,08:46:22,08:46:40,8,08:48:16,08:48:16,9,08:50:26,08:50:40
31,8,1,10:04:41,10:12:41,2,10:19:20,10:19:20,3,10:21:25,10:21:25,,,,,,,,,,,,,,,,,,
31,8,,,,2,10:25:38,10:25:38,,,,4,10:30:32,10:30:32,5,10:32:15,10:32:15,,,,,,,8,10:43:07,10:43:10,9,10:45:30,10:45:30
31,8,1,11:41:42,12:25:12,2,12:32:24,12:32:24,3,12:34:47,12:34:47,,,,,,,,,,,,,,,,,,
31,8,,,,2,12:39:15,12:39:15,,,,4,12:45:00,12:45:00,,,,,,,,,,8,12:59:34,12:59:34,9,13:01:36,13:01:40
31,8,1,13:56:13,14:12:13,2,14:19:17,14:19:17,3,14:21:57,14:21:57,4,14:34:43,14:35:14,5,14:36:42,14:36:42,,,,,,,8,14:48:03,14:48:40,9,14:50:55,14:50:55
31,8,1,15:41:43,16:17:43,2,16:23:46,16:23:46,3,16:25:56,16:25:56,,,,,,,,,,,,,,,,,,
31,8,,,,2,16:29:38,16:29:38,,,,4,16:36:15,16:36:15,,,,,,,,,,8,16:48:44,16:48:44,9,16:51:14,16:51:14
31,8,1,18:21:44,18:21:44,2,18:28:56,18:28:58,3,18:30:07,18:30:10,,,,,,,,,,,,,,,,,,
31,8,,,,2,18:33:44,18:33:44,,,,4,18:39:18,18:39:18,,,,,,,,,,8,18:58:23,18:58:23,9,19:01:46,19:01:46
31,8,1,20:18:15,20:22:45,2,20:29:33,20:29:33,3,20:31:13,20:31:13,,,,,,,,,,,,,,,,,,
31,8,,,,2,20:39:39,20:39:39,,,,4,20:45:26,20:45:40,5,20:46:55,20:46:55,6,20:47:59,20:47:59,7,20:56:22,20:56:40,8,20:59:01,20:59:01,9,21:02:45,21:02:45
31,8,1,22:24:46,22:24:46,2,22:31:07,22:31:07,3,22:32:33,22:32:39,,,,,,,,,,,,,,,,,,
31,8,,,,2,22:36:30,22:36:30,,,,4,22:42:03,22:42:03,5,22:43:03,22:43:03,6,22:44:12,22:44:12,7,22:48:36,22:48:40,8,22:50:00,22:50:00,9,22:51:48,22:51:48
31,8,1,23:31:37,23:31:37,,,,,,,4,23:39:14,23:39:14,5,23:40:10,23:40:12,6,23:41:10,23:41:10,,,,,,,,,
