bus_id,route_id,place1,timestamp1_in,timestamp1_out,place2,timestamp2_in,timestamp2_out,place3,timestamp3_in,timestamp3_out,place4,timestamp4_in,timestamp4_out,place5,timestamp5_in,timestamp5_out,place6,timestamp6_in,timestamp6_out,place7,timestamp7_in,timestamp7_out,place8,timestamp8_in,timestamp8_out,place9,timestamp9_in,timestamp9_out
31,8,1,06:04:09,06:04:09,,,,3,06:09:26,06:09:26,4,06:16:24,06:16:24,5,06:17:57,06:17:57,6,06:20:23,06:20:40,7,06:26:36,06:26:36,8,06:28:19,06:28:19,9,06:30:50,06:31:14
31,8,1,07:46:39,08:10:40,2,08:18:10,08:18:10,3,08:19:36,08:19:39,4,08:27:03,08:27:10,,,,6,08:30:26,08:30:26,7,08:40:48,08:41:11,8,08:43:55,08:44:11,9,08:49:03,08:49:15
31,8,1,10:05:40,10:10:10,2,10:16:45,10:16:45,3,10:18:54,10:18:54,4,10:26:45,10:26:45,,,,6,10:29:23,10:29:23,7,10:36:16,10:36:16,8,10:38:12,10:38:12,9,10:40:20,10:40:20
31,8,1,11:51:11,12:10:41,2,12:18:47,12:18:47,3,12:20:21,12:20:21,4,12:28:16,12:28:16,,,,6,12:31:09,12:31:10,7,12:38:17,12:38:40,8,12:40:58,12:41:09,9,12:43:13,12:43:13
31,8,1,14:10:42,14:10:42,2,14:18:20,14:18:20,3,14:20:37,14:20:40,4,14:28:04,14:28:04,5,14:29:49,14:29:49,6,14:31:00,14:31:00,7,14:40:30,14:40:39,8,14:42:45,14:42:45,9,14:45:01,14:45:11
31,8,1,15:43:43,16:10:43,2,16:17:08,16:17:08,3,16:19:44,16:19:44,4,16:28:47,16:28:47,,,,6,16:31:45,16:31:45,7,16:39:06,16:39:10,8,16:40:55,16:41:10,9,16:43:39,16:43:40
31,8,1,18:18:14,18:18:14,2,18:26:56,18:26:56,3,18:28:47,18:28:47,4,18:36:30,18:36:41,,,,6,18:40:39,18:40:40,7,18:57:45,18:57:45,8,19:00:13,19:00:13,9,19:02:52,19:02:52
31,8,1,20:11:44,20:11:44,2,20:16:08,20:16:08,3,20:17:17,20:17:17,4,20:24:35,20:24:35,5,20:25:42,20:25:42,6,20:26:43,20:26:43,,,,8,20:32:52,20:32:52,9,20:34:52,20:34:52
31,8,1,22:01:15,22:01:15,2,22:06:06,22:06:06,3,22:07:45,22:07:45,4,22:15:15,22:15:15,5,22:16:16,22:16:16,6,22:17:19,22:17:19,,,,8,22:23:05,22:23:05,9,22:25:14,22:25:14
31,8,1,23:27:15,23:27:15,,,,,,,4,23:34:08,23:34:08,5,23:35:00,23:35:00,6,23:35:52,23:35:52,,,,,,,,,
