bus_id,route_id,place1,timestamp1_in,timestamp1_out,place2,timestamp2_in,timestamp2_out,place3,timestamp3_in,timestamp3_out,place4,timestamp4_in,timestamp4_out,place5,timestamp5_in,timestamp5_out,place6,timestamp6_in,timestamp6_out,place7,timestamp7_in,timestamp7_out,place8,timestamp8_in,timestamp8_out,place9,timestamp9_in,timestamp9_out
31,8,1,20:05:13,20:05:13,2,20:10:03,20:10:03,3,20:12:04,20:12:10,,,,,,,,,,,,,,,,,,
31,8,,,,2,20:15:48,20:15:55,,,,4,20:21:16,20:21:16,,,,6,20:23:25,20:23:25,7,20:29:24,20:29:24,8,20:30:50,20:30:50,9,20:33:23,20:33:23
31,8,1,22:00:43,22:00:43,2,22:07:16,22:07:16,3,22:08:49,22:08:49,4,22:16:30,22:16:40,5,22:18:15,22:18:15,6,22:19:18,22:19:18,7,22:24:09,22:24:11,8,22:25:34,22:25:39,9,22:27:55,22:27:55
31,8,1,23:32:14,23:32:14,,,,,,,4,23:41:16,23:41:16,,,,6,23:43:13,23:43:13,,,,,,,,,
